书名,图片,评论数,推荐量,作者,出版社,售价,原价,折扣,电子书价格,详情页,more
生死疲劳（不看不知道，莫言真幽默！全新版本！印章版和普通版随机发货）,http://img3m5.ddimg.cn/37/23/29343835-1_l_18.jpg,411076.0,100%,莫言；读客文化 出品,浙江文艺出版社,¥34.90,¥69.90,5.0折,¥27.99,http://product.dangdang.com/29343835.html,"{""keys"": [""开 本：32开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：是"", ""国际标准书号ISBN：23579654""], ""cates"": [[""图书"", ""小说"", ""中国当代小说""]]}"
安顿自己 [日]坂东真理子 解答工作家庭自我问题76岁的日本女性问题专家毕生致力于女性问题与女性教育成长方面的工作，指导女性如何幸福快乐的生活,http://img3m5.ddimg.cn/55/22/29466415-1_l_19.jpg,1619.0,100%,【日】坂东真理子 文通天下 出品,水利水电出版社,¥16.90,¥49.80,3.4折,,http://product.dangdang.com/29466415.html,"{""keys"": [""开 本：32开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：是"", ""国际标准书号ISBN：23579654""], ""cates"": [[""图书"", ""成功/励志"", ""人生哲学"", ""人生智慧""]]}"
三体（精装纪念版）,http://img3m5.ddimg.cn/17/24/25141265-1_l_10.jpg,81265.0,99.8%,刘慈欣，科幻世界出品,重庆出版社,¥144.00,¥288.00,5.0折,,http://product.dangdang.com/25141265.html,"{""keys"": [""开 本：32开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：是"", ""国际标准书号ISBN：23579654""], ""cates"": [[""图书"", ""小说"", ""科幻小说""]]}"
经典常谈朱自清（《语文》推荐阅读丛书） 人民文学出版社,http://img3m4.ddimg.cn/80/26/29449214-1_l_10.jpg,167.0,96.4%,朱自清,人民文学出版社,¥10.00,¥20.00,5.0折,¥12.00,http://product.dangdang.com/29449214.html,"{""keys"": [""开 本：32开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：是"", ""国际标准书号ISBN：23579654""], ""cates"": [[""图书"", ""中小学用书"", ""初中阅读"", ""语文阅读""]]}"
带壳的牡蛎是大人的心脏（绘签版、签章版随机掉落！全部含作者亲绘贴纸！超人气漫画家拟泥nini首部作品集。阮筠庭、文森特动物园推荐）,http://img3m7.ddimg.cn/47/4/29463437-1_l_32.jpg,30335.0,100%,拟泥nini 著绘  时代华语 出品,北京联合出版有限公司,¥40.80,¥68.00,6.0折,,http://product.dangdang.com/29463437.html,"{""keys"": [""开 本：32开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：是"", ""国际标准书号ISBN：23579654""], ""cates"": [[""图书"", ""动漫/幽默"", ""大陆漫画"", ""爆笑/生活""]]}"
瓦尔登湖（经典新读 中央编译出版社）,http://img3m3.ddimg.cn/51/18/26916963-1_l_13.jpg,67635.0,100%,（美）梭罗 著，王光林 译 万亭文化 出品,中央编译出版社,¥11.40,¥26.80,4.3折,,http://product.dangdang.com/26916963.html,"{""keys"": [""开 本：32开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：是"", ""国际标准书号ISBN：23579654""], ""cates"": [[""图书"", ""小说"", ""世界名著"", ""美洲""]]}"
蛤蟆先生去看心理医生（热销300万册！英国经典心理咨询入门书，知名心理学家李松蔚强烈推荐）,http://img3m9.ddimg.cn/71/33/28992419-1_l_63.jpg,1389622.0,100%,罗伯特・戴博德，果麦文化 出品,天津人民出版社,¥19.00,¥38.00,5.0折,¥15.99,http://product.dangdang.com/28992419.html,"{""keys"": [""开 本：32开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：是"", ""国际标准书号ISBN：23579654""], ""cates"": [[""图书"", ""心理学"", ""心灵疗愈""]]}"
小妇人（写给所有女孩，全新精装典藏版，翻译家贾辉丰倾情译作。内封复刻1868年初版，特种红纸烫金）,http://img3m5.ddimg.cn/80/2/29343185-1_l_10.jpg,45312.0,100%,[美]路易莎・梅・奥尔科特，创美工厂出品,中国友谊出版公司,¥22.50,¥45.00,5.0折,¥7.96,http://product.dangdang.com/29343185.html,"{""keys"": [""开 本：32开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：是"", ""国际标准书号ISBN：23579654""], ""cates"": [[""图书"", ""小说"", ""世界名著"", ""欧洲""]]}"
快乐就是哈哈哈哈哈,http://img3m6.ddimg.cn/26/6/29444606-1_l_10.jpg,8578.0,100%,梁实秋 著  时代华语 出品,中国友谊出版公司,¥26.00,¥52.00,5.0折,¥39.99,http://product.dangdang.com/29444606.html,"{""keys"": [""开 本：32开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：是"", ""国际标准书号ISBN：23579654""], ""cates"": [[""图书"", ""文学"", ""中国现当代随笔""]]}"
往里走，安顿自己（史学大家许倬云重磅新作！总感觉自己活得很累，累就累在无法安顿自己的心！）,http://img3m8.ddimg.cn/87/36/29457438-1_l_13.jpg,21244.0,100%,[美] 许倬云 著；冯俊文 执笔；读客文化 出品,北京日报出版社,¥29.90,¥59.90,5.0折,¥29.99,http://product.dangdang.com/29457438.html,"{""keys"": [""开 本：32开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：是"", ""国际标准书号ISBN：23579654""], ""cates"": [[""图书"", ""哲学/宗教"", ""哲学"", ""哲学与人生""]]}"
被讨厌的勇气：“自我启发之父”阿德勒的哲学课 岸见一郎,http://img3m2.ddimg.cn/33/26/28518072-1_l_8.jpg,900622.0,100%,"岸��一郎, 古�R史健",机械工业出版社,¥37.00,¥55.00,6.7折,¥7.96,http://product.dangdang.com/28518072.html,"{""keys"": [""开 本：32开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：是"", ""国际标准书号ISBN：23579654""], ""cates"": [[""图书"", ""成功/励志"", ""心灵与修养"", ""心灵/感悟""]]}"
bibi动物园：等你好久啦（当当专享超萌签章版+番外漫画集+精美贴纸，“治愈系天花板”随手一翻，嘴角一弯！）,http://img3m9.ddimg.cn/84/2/29473869-1_l_19.jpg,7230.0,100%,bibi园长  著 ， 新经典  出品,南海出版公司,¥35.20,¥49.00,7.2折,¥29.40,http://product.dangdang.com/29473869.html,"{""keys"": [""开 本：32开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：是"", ""国际标准书号ISBN：23579654""], ""cates"": [[""图书"", ""动漫/幽默"", ""大陆漫画"", ""其他大陆漫画""]]}"
红楼梦原著版（上、下册，全两册，全本120回）（团购电话:400-1066666转6）,http://img3m1.ddimg.cn/9/22/102771-1_l_8.jpg,674378.0,99.6%,曹雪芹,人民文学出版社,¥32.20,¥59.70,5.4折,¥36.00,http://product.dangdang.com/102771.html,"{""keys"": [""开 本：32开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：是"", ""国际标准书号ISBN：23579654""], ""cates"": [[""图书"", ""小说"", ""四大名著"", ""红楼梦""]]}"
不爱说话的十一岁・纽伯瑞儿童文学奖金奖（写尽8~12岁孩子的心事！孩子到了有心事的年纪，只需要倾听、倾听和倾听）,http://img3m0.ddimg.cn/28/20/28554400-1_l_8.jpg,44814.0,100%,[菲]艾琳.恩瑞达.凯莉 著；读客文化 出品,文汇出版社,¥17.90,¥35.80,5.0折,,http://product.dangdang.com/28554400.html,"{""keys"": [""开 本：32开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：是"", ""国际标准书号ISBN：23579654""], ""cates"": [[""图书"", ""童书"", ""外国儿童文学"", ""成长/校园小说""], [""图书"", ""童书"", ""7-10岁"", ""文学""], [""图书"", ""童书"", ""语言表达""]]}"
罪与罚 犯罪心理分析小说的大师级经典之作 世界名著典藏,http://img3m2.ddimg.cn/74/3/23806802-1_l_13.jpg,80304.0,100%,"（俄）陀思妥耶夫斯基（著),朱宪生、曾思艺译 万亭文化 出品",中央编译出版社,¥12.70,¥32.00,4.0折,,http://product.dangdang.com/23806802.html,"{""keys"": [""开 本：32开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：是"", ""国际标准书号ISBN：23579654""], ""cates"": [[""图书"", ""中小学用书"", ""小学阅读"", ""课外阅读""]]}"
杀死一只知更鸟（豆瓣9.2，关于勇气与正义的成长教科书，影响全球5000万家庭的“教养宝典”，奥巴马、贝克汉姆、奥普拉鼎力推荐）,http://img3m9.ddimg.cn/97/6/29471209-1_l_7.jpg,943431.0,100%,哈珀・李 著 李育超 译,译林出版社,¥29.00,¥58.00,5.0折,,http://product.dangdang.com/29471209.html,"{""keys"": [""开 本：32开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：是"", ""国际标准书号ISBN：23579654""], ""cates"": [[""图书"", ""小说"", ""世界名著"", ""美洲""]]}"
苏东坡传（林语堂纪念典藏精装版）,http://img3m8.ddimg.cn/40/0/25211578-1_l_26.jpg,879757.0,99.9%,"林语堂 著,博集天卷 出品",湖南文艺出版社,¥26.00,¥52.00,5.0折,¥12.99,http://product.dangdang.com/25211578.html,"{""keys"": [""开 本：32开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：是"", ""国际标准书号ISBN：23579654""], ""cates"": [[""图书"", ""传记"", ""历史人物""]]}"
马尔克斯：百年孤独（50周年纪念版）,http://img3m6.ddimg.cn/83/20/25138856-1_l_6.jpg,2200645.0,99.8%,加西亚・马尔克斯 著，新经典 出品,南海出版公司,¥39.60,¥55.00,7.2折,¥35.99,http://product.dangdang.com/25138856.html,"{""keys"": [""开 本：32开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：是"", ""国际标准书号ISBN：23579654""], ""cates"": [[""图书"", ""小说"", ""世界名著"", ""其他地区""]]}"
少年读徐霞客游记（游中国・地理启蒙，全3册；读万卷书，行万里路！当代著名地质学家、科普作家刘兴诗与古代伟大的旅行家、地理学家徐霞客穿越时空，神奇相遇，趣味解读多姿多彩的中国地理！）,http://img3m5.ddimg.cn/23/29/29122655-1_l_14.jpg,90383.0,100%,刘兴诗,青岛出版社,¥49.00,¥100.00,4.9折,,http://product.dangdang.com/29122655.html,"{""keys"": [""开 本：32开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：是"", ""国际标准书号ISBN：23579654""], ""cates"": [[""图书"", ""童书"", ""中国儿童文学"", ""经典名著少儿版""], [""图书"", ""童书"", ""7-10岁"", ""文学""], [""图书"", ""童书"", ""开学必备""]]}"
人生苦短，再来一碗（色香味俱全的美食散文集，可以下酒 佐餐 伴眠 丰子恺、王世襄、唐鲁孙、汪曾祺54篇经典，篇篇有滋味 作家小传，赠名画书签）,http://img3m6.ddimg.cn/46/32/29358496-1_l_3.jpg,3749.0,100%,丰子恺 等,花山文艺出版社,¥24.90,¥49.80,5.0折,,http://product.dangdang.com/29358496.html,"{""keys"": [""开 本：32开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：是"", ""国际标准书号ISBN：23579654""], ""cates"": [[""图书"", ""文学"", ""中国现当代随笔""]]}"
你当像鸟飞往你的山（中文版销量超200万册，比尔・盖茨年度特别推荐！登顶《纽约时报》畅销榜80+周，这本书比你听说的还要好！）,http://img3m2.ddimg.cn/0/27/28473192-1_l_22.jpg,1446038.0,100%,塔拉 ・ 韦斯特弗  著 ， 新经典  出品,南海出版公司,¥34.80,¥59.00,5.9折,¥24.90,http://product.dangdang.com/28473192.html,"{""keys"": [""开 本：32开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：是"", ""国际标准书号ISBN：23579654""], ""cates"": [[""图书"", ""文学"", ""外国随笔""]]}"
悉达多（译者姜乙翻译）【果麦经典】,http://img3m8.ddimg.cn/63/11/26186058-1_l_14.jpg,164577.0,100%,[德]赫尔曼・黑塞，译者：姜乙，果麦文化 出品,天津人民出版社,¥16.00,¥32.00,5.0折,¥3.99,http://product.dangdang.com/26186058.html,"{""keys"": [""开 本：32开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：是"", ""国际标准书号ISBN：23579654""], ""cates"": [[""图书"", ""小说"", ""外国小说"", ""德国""]]}"
作家榜经典：月亮与六便士（全新未删节插图珍藏版！毛姆写给年轻人的梦想之书！满地都是六便士，他却抬头看见了月亮！）,http://img3m1.ddimg.cn/66/15/24175371-1_l_328.jpg,1437977.0,100%,[英] 毛姆 著，作家榜经典名著 出品，徐淳刚（诗人） 译，大星文化，高更 绘,浙江文艺出版社,¥19.50,¥39.80,4.9折,,http://product.dangdang.com/24175371.html,"{""keys"": [""开 本：32开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：是"", ""国际标准书号ISBN：23579654""], ""cates"": [[""图书"", ""小说"", ""世界名著"", ""欧洲""]]}"
阳光温柔，猫狗可爱（治愈系生活散文，冯骥才、季羡林等半个文化圈的集体回忆。人生不易，幸好有你）,http://img3m9.ddimg.cn/23/30/29448959-1_l_1.jpg,1882.0,100%,冯骥才等,古吴轩出版社,¥26.40,¥52.80,5.0折,,http://product.dangdang.com/29448959.html,"{""keys"": [""开 本：32开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：是"", ""国际标准书号ISBN：23579654""], ""cates"": [[""图书"", ""文学"", ""中国现当代随笔""]]}"
少年读史记（套装全5册）,http://img3m1.ddimg.cn/80/1/23778791-1_l_29.jpg,1270874.0,99.9%,张嘉骅,青岛出版社,¥49.00,¥100.00,4.9折,¥29.99,http://product.dangdang.com/23778791.html,"{""keys"": [""开 本：32开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：是"", ""国际标准书号ISBN：23579654""], ""cates"": [[""图书"", ""童书"", ""中国儿童文学"", ""经典名著少儿版""], [""图书"", ""童书"", ""11-14岁"", ""文学""], [""图书"", ""童书"", ""历史故事""]]}"
局外人（加缪定本无删节，全新精装珍藏版）,http://img3m9.ddimg.cn/13/32/28470829-1_l_13.jpg,8678.0,99.9%,加缪 著，麦书房出品，有容书邦发行,北岳文艺出版社,¥31.50,¥45.00,7.0折,,http://product.dangdang.com/28470829.html,"{""keys"": [""开 本：32开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：是"", ""国际标准书号ISBN：23579654""], ""cates"": [[""图书"", ""小说"", ""世界名著"", ""欧洲""]]}"
置身事内：中国政府与经济发展（罗永浩、罗振宇、何帆、刘格菘、张军、周黎安、王烁联袂推荐，复旦经院毕业课）,http://img3m8.ddimg.cn/27/24/29281158-1_l_25.jpg,179963.0,100%,兰小欢 著,上海人民出版社,¥32.50,¥65.00,5.0折,,http://product.dangdang.com/29281158.html,"{""keys"": [""开 本：32开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：是"", ""国际标准书号ISBN：23579654""], ""cates"": [[""图书"", ""经济"", ""中国经济"", ""中国经济概况""]]}"
那个不为人知的故事,http://img3m2.ddimg.cn/46/8/29124262-1_l_5.jpg,199526.0,100%,"Twentine 著,酷威文化 出品",四川文艺出版社,¥21.00,¥42.00,5.0折,,http://product.dangdang.com/29124262.html,"{""keys"": [""开 本：32开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：是"", ""国际标准书号ISBN：23579654""], ""cates"": [[""图书"", ""青春文学"", ""青春爱情文学""]]}"
呼啸山庄（诺贝尔奖得主莫言盛赞，关于爱和恨、背叛和复仇的史诗级作品，附赠家族图谱和《呼啸山庄》大事记）,http://img3m2.ddimg.cn/87/15/29330322-1_l_4.jpg,9219.0,100%,[英] 艾米莉・勃朗特,中国友谊出版公司,¥22.50,¥45.00,5.0折,¥7.99,http://product.dangdang.com/29330322.html,"{""keys"": [""开 本：32开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：是"", ""国际标准书号ISBN：23579654""], ""cates"": [[""图书"", ""小说"", ""世界名著"", ""欧洲""]]}"
人生海海（麦家重磅力作，莫言、董卿盛赞，连续两年高居畅销榜，发行量超200万册）,http://img3m5.ddimg.cn/51/34/26921715-1_l_12.jpg,1118611.0,100%,麦家  著 ，新经典  出品,北京十月文艺出版社,¥27.50,¥55.00,5.0折,¥21.99,http://product.dangdang.com/26921715.html,"{""keys"": [""开 本：32开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：是"", ""国际标准书号ISBN：23579654""], ""cates"": [[""图书"", ""小说"", ""中国当代小说""]]}"
在细雨中呼喊（精装版）,http://img3m8.ddimg.cn/83/20/25263398-1_l_6.jpg,78189.0,100%,余华 著，新经典 出品,北京十月文艺出版社,¥27.20,¥39.50,6.9折,¥11.99,http://product.dangdang.com/25263398.html,"{""keys"": [""开 本：32开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：是"", ""国际标准书号ISBN：23579654""], ""cates"": [[""图书"", ""小说"", ""中国近现代小说""]]}"
遥远的救世主（天道原著王志文主演电视剧畅销遥远的救世主作者豆豆三部曲之一）,http://img3m7.ddimg.cn/23/17/25353527-1_l_15.jpg,493216.0,99.9%,豆豆,作家出版社,¥21.40,¥48.00,4.5折,,http://product.dangdang.com/25353527.html,"{""keys"": [""开 本：32开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：是"", ""国际标准书号ISBN：23579654""], ""cates"": [[""图书"", ""小说"", ""中国当代小说""]]}"
面纱（毛姆关于女性精神觉醒的经典作品，三次改编成电影。2018全新编校+无删减全译本）,http://img3m0.ddimg.cn/77/11/26445650-1_l_11.jpg,193185.0,100%,〔英〕毛姆 著，王晋华 译,时代文艺出版社,¥12.20,¥27.00,4.5折,,http://product.dangdang.com/26445650.html,"{""keys"": [""开 本：32开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：是"", ""国际标准书号ISBN：23579654""], ""cates"": [[""图书"", ""小说"", ""世界名著"", ""欧洲""]]}"
沈从文：到日光下去生活（今天也要好好过。到日光下去，去找到你的甜。沈从文先生诞辰120周年全彩纪念版！一本书阅尽沈从文作品精华。汪曾祺、季羡林、贾平凹、曹文轩、董卿等极力推崇。）,http://img3m2.ddimg.cn/39/13/29278002-1_l_27.jpg,78488.0,100%,沈从文,中国致公出版社,¥22.50,¥45.00,5.0折,,http://product.dangdang.com/29278002.html,"{""keys"": [""开 本：32开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：是"", ""国际标准书号ISBN：23579654""], ""cates"": [[""图书"", ""文学"", ""名家作品""]]}"
一九八四（又译“1984”。奥威尔代表作，反乌托邦杰作之一）,http://img3m4.ddimg.cn/96/20/25215594-1_l_11.jpg,243901.0,100%,"[英]乔治・奥威尔 著,傅霞 译",时代文艺出版社,¥14.40,¥32.00,4.5折,¥1.99,http://product.dangdang.com/25215594.html,"{""keys"": [""开 本：32开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：是"", ""国际标准书号ISBN：23579654""], ""cates"": [[""图书"", ""小说"", ""社会小说""]]}"
全球最美的100个地方 图说天下 寻梦之旅,http://img3m9.ddimg.cn/38/9/29434619-1_l_7.jpg,25852.0,100%,《图说天下》编委会,四川人民出版社,¥17.90,¥29.90,6.0折,,http://product.dangdang.com/29434619.html,"{""keys"": [""开 本：32开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：是"", ""国际标准书号ISBN：23579654""], ""cates"": [[""图书"", ""旅游/地图"", ""城市自助旅游指南"", ""国外""]]}"
【包邮】天官赐福・贰 当当独家自制（花怜“卷落惊鸿”Q版立牌+飞机盒）+金色印签花怜拍立得等不止公布的8款赠品！,http://img3m5.ddimg.cn/36/8/29423925-1_l_6.jpg,27171.0,100%,墨香铜臭 原著，白梦社STARember 编绘,中信出版社,¥46.80,¥59.80,7.8折,,http://product.dangdang.com/29423925.html,"{""keys"": [""开 本：32开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：是"", ""国际标准书号ISBN：23579654""], ""cates"": [[""图书"", ""动漫/幽默"", ""大陆漫画"", ""科幻/武侠/玄幻""]]}"
西西家族成长日记・我会保护我自己（套装4册）给孩子的安全教育 自我保护意识绘本 睡前亲子读物 和孙俪一起守护宝贝的童年,http://img3m5.ddimg.cn/28/35/29474605-1_l_11.jpg,22674.0,100%,孙俪；小博集出品,湖南少年儿童出版社,¥84.00,¥168.00,5.0折,,http://product.dangdang.com/29474605.html,"{""keys"": [""开 本：32开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：是"", ""国际标准书号ISBN：23579654""], ""cates"": [[""图书"", ""童书"", ""绘本/图画书"", ""精装图画书"", ""中国原创""], [""图书"", ""童书"", ""3-6岁"", ""卡通/动漫/图画书""]]}"
始于极限：女性主义往复书简（上野千鹤子新作，豆瓣2022年度图书top1，万千读者无限共鸣的坦诚对话）,http://img3m6.ddimg.cn/38/16/29458676-1_l_12.jpg,37963.0,100%,（日）上野千鹤子，（日）铃木凉美 著，新经典  出品,新星出版社,¥29.50,¥59.00,5.0折,¥29.50,http://product.dangdang.com/29458676.html,"{""keys"": [""开 本：32开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：是"", ""国际标准书号ISBN：23579654""], ""cates"": [[""图书"", ""社会科学"", ""社会学"", ""社会生活与社会问题""]]}"
云边有个小卖部（俞敏洪《在岁月中远行》单独撰文推荐，随书附赠云边镇四季明信片和张嘉佳作词单曲彩蛋）,http://img3m9.ddimg.cn/77/23/25295369-1_l_41.jpg,1455258.0,100%,"张嘉佳 著,博集天卷 出品",湖南文艺出版社,¥25.20,¥42.00,6.0折,¥9.99,http://product.dangdang.com/25295369.html,"{""keys"": [""开 本：32开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：是"", ""国际标准书号ISBN：23579654""], ""cates"": [[""图书"", ""小说"", ""中国当代小说""]]}"
人间闹了一整天纪念礼盒套装（可能这就是人生吧+为这人间操碎了心+不如做只猫狗，梁实秋散文随笔集全3册）,http://img3m7.ddimg.cn/93/17/29325477-1_l_10.jpg,6442.0,100%,梁实秋 著  时代华语 出品,中国友谊出版公司,¥63.00,¥126.00,5.0折,,http://product.dangdang.com/29325477.html,"{""keys"": [""开 本：32开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：是"", ""国际标准书号ISBN：23579654""], ""cates"": [[""图书"", ""文学"", ""中国现当代随笔""]]}"
