书名,图片,评论数,推荐量,作者,出版日期,出版社,售价,原价,折扣,电子书价格,详情页,keys,cates,desc
尼尔斯骑鹅旅行记（语文教材“快乐读书吧”六年级下册阅读，翻译家石琴娥译本）,http://img3m8.ddimg.cn/56/19/26315048-1_l_42.jpg,159728.0,100%,（瑞典）塞尔玛・拉格洛夫， 石琴娥译，小当当童书馆 出品,2018-12-01,安徽教育出版社,¥9.67,¥24.80,3.9折,,http://product.dangdang.com/26315048.html,"[""开 本：32开"", ""纸 张：轻型纸"", ""包 装：平装-胶订"", ""是否套装：否"", ""国际标准书号ISBN：9787533687526""]","[[""图书"", ""中小学用书"", ""小学阅读"", ""语文阅读""]]",手绘精美插图(新老版本随机发)  
爆笑小古文漫画版 笑破肚皮 笑掉大牙 哭笑不得 小学生一二三四五六年级课外阅读趣味笑话漫画书（全套3册）,http://img3m1.ddimg.cn/5/21/29447951-1_l_4.jpg,4722.0,100%,哈哈星球,2022-07-01,二十一世纪出版社,¥54.00,¥108.00,5.0折,,http://product.dangdang.com/29447951.html,"[""开 本：16开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：是"", ""国际标准书号ISBN：9787556865970""]","[[""图书"", ""中小学用书"", ""小学阅读"", ""课外阅读""]]",  
时代广场的蟋蟀：麦克米伦世纪大奖小说最新升级版,http://img3m1.ddimg.cn/5/1/29148971-1_l_13.jpg,561752.0,100%,[美]乔治・塞尔登,2017-09-01,二十一世纪出版社,¥11.00,¥25.00,4.4折,,http://product.dangdang.com/29148971.html,"[""开 本：32开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：否"", ""国际标准书号ISBN：9787556830411""]","[[""图书"", ""童书"", ""外国儿童文学"", ""动物小说""], [""图书"", ""童书"", ""7-10岁"", ""文学""], [""图书"", ""童书"", ""经典必读""]]",纽伯瑞儿童文学奖银奖作品，三年级课外阅读推荐图书。乡下蟋蟀勇闯大纽约的奇妙征程，让音乐成为生命的底色，让友谊成为生命的温度，让心灵成为生命的归属。  
骆驼祥子 七年级下册推荐阅读(中小学生课外阅读指导丛书) 无障碍阅读 彩插励志版 300000多名读者热评！,http://img3m5.ddimg.cn/47/13/22854395-1_l_43.jpg,392084.0,99.9%,老舍,2021-06-01,时代文艺出版社,¥6.70,¥15.80,4.2折,,http://product.dangdang.com/22854395.html,"[""开 本：16开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：否"", ""国际标准书号ISBN：9787538768787""]","[[""图书"", ""中小学用书"", ""小学阅读"", ""课外阅读""]]",新老版本任意发货  
杀死一只知更鸟（豆瓣9.2，关于勇气与正义的成长教科书，影响全球5000万家庭的“教养宝典”，奥巴马、贝克汉姆、奥普拉鼎力推荐）,http://img3m9.ddimg.cn/97/6/29471209-1_l_7.jpg,943431.0,100%,哈珀・李 著 李育超 译,2022-11-01,译林出版社,¥29.00,¥58.00,5.0折,,http://product.dangdang.com/29471209.html,"[""开 本：32开"", ""纸 张：胶版纸"", ""包 装：精装"", ""是否套装：否"", ""国际标准书号ISBN：9787544766500""]","[[""图书"", ""小说"", ""世界名著"", ""美洲""]]",豆瓣9.3高分！豆瓣外国小说Top100第13名！写出孩子心中直觉的是非观念，社会公正。阐释正义，勇气，赤子之心！罗翔推荐，罗翔书单推荐。  
作家榜经典：月亮与六便士（全新未删节插图珍藏版！毛姆写给年轻人的梦想之书！满地都是六便士，他却抬头看见了月亮！）,http://img3m1.ddimg.cn/66/15/24175371-1_l_328.jpg,1437977.0,100%,[英] 毛姆 著，作家榜经典名著 出品，徐淳刚（诗人） 译，大星文化，高更 绘,2017-01-10,浙江文艺出版社,¥19.50,¥39.80,4.9折,,http://product.dangdang.com/24175371.html,"[""开 本：32开"", ""纸 张：胶版纸"", ""包 装：平装-锁线胶订"", ""是否套装：否"", ""国际标准书号ISBN：9787533936020"", ""丛书名：作家榜经典文库""]","[[""图书"", ""小说"", ""世界名著"", ""欧洲""]]",如果你在现实与梦想中纠结迷茫，就翻开《月亮与六便士》吧！1435548条真实口碑热评！诗人徐淳刚经典全译本热卖中！译自英国原版！读者好评如潮！横扫畅销书榜！谨防山寨仿冒！  
海底两万里(《语文》阅读丛书)七年级下册阅读人民文学出版社,http://img3m0.ddimg.cn/1/19/25283710-1_l_6.jpg,125189.0,100%,（法国）儒勒・凡尔纳,2018-06-01,人民文学出版社,¥16.40,¥35.00,4.7折,¥18.00,http://product.dangdang.com/25283710.html,"[""开 本：16开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：否"", ""国际标准书号ISBN：9787020137497""]","[[""图书"", ""中小学用书"", ""初中阅读"", ""语文阅读""]]",//版本完善，编校精良，助力成长  
夏洛的网(2020版）（三年级阅读经典书目）,http://img3m8.ddimg.cn/86/8/28533668-1_l_7.jpg,1200635.0,99.3%,（美）怀特　著，任溶溶　译,2014-08-01,上海译文出版社,¥23.40,¥37.00,6.3折,,http://product.dangdang.com/28533668.html,"[""开 本：大32开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：否"", ""国际标准书号ISBN：9787532767373""]","[[""图书"", ""童书"", ""外国儿童文学"", ""童话故事""], [""图书"", ""童书"", ""7-10岁"", ""文学""], [""图书"", ""童书"", ""开学必备""]]",三年级阅读经典书目，“美国伟大的十部儿童文学名著”之首，全球行销，关于爱、友谊、生死，一本读到流泪的“真正的书”儿童文学  
如果历史是一群喵11・南宋金元篇,http://img3m7.ddimg.cn/38/23/29475407-1_l_11.jpg,58594.0,100%,肥志编绘，漫友文化出品,2022-10-01,广东旅游出版社,¥42.70,¥59.80,7.1折,,http://product.dangdang.com/29475407.html,"[""开 本：16开"", ""纸 张：胶版纸"", ""包 装：线装"", ""是否套装：否"", ""国际标准书号ISBN：9787557028657""]","[[""图书"", ""动漫/幽默"", ""大陆漫画"", ""历史/传统文化""]]",肥志人气历史萌漫系列第十一卷，南宋金元展开激烈较量，世纪风暴袭来！  
汤姆・索亚历险记（深受儿童欢迎的冒险小说，小学语文“快乐读书吧”・六年级下阅读）,http://img3m6.ddimg.cn/33/6/25061586-1_l_17.jpg,245274.0,100%,〔美〕马克・吐温 著 张友松 译,2017-04-01,浙江工商大学出版社,¥10.80,¥24.00,4.5折,¥1.99,http://product.dangdang.com/25061586.html,"[""开 本：32开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：否"", ""国际标准书号ISBN：9787517820611""]","[[""图书"", ""中小学用书"", ""小学阅读"", ""快乐读书吧""]]",翻译家张友松译本，儿童冒险经典，语言活泼，童趣十足  
小猪唏哩呼噜(注音版上下),http://img3m7.ddimg.cn/3/27/29318457-1_l_4.jpg,657293.0,99.9%,孙幼军,2021-11-01,春风文艺出版社,¥20.00,¥40.00,5.0折,,http://product.dangdang.com/29318457.html,"[""开 本：32开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：否"", ""国际标准书号ISBN：29318457""]","[[""图书"", ""童书"", ""中国儿童文学"", ""童话故事""], [""图书"", ""童书"", ""7-10岁"", ""文学""]]",入选中国小学生基础阅读书目、获国际安徒生文学奖提名奖的作家和画家的经典之作。  
健康不走弯路：细节打造好身体,http://img3m7.ddimg.cn/60/12/29476617-1_l_2.jpg,51064.0,100%,刘加勇,2022-10-01,中国人口出版社,¥27.40,¥49.80,5.5折,,http://product.dangdang.com/29476617.html,"[""开 本：32开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：否"", ""国际标准书号ISBN：9787510170935""]","[[""图书"", ""保健/养生"", ""健康百科""]]",  
你当像鸟飞往你的山（中文版销量超200万册，比尔・盖茨年度特别推荐！登顶《纽约时报》畅销榜80+周，这本书比你听说的还要好！）,http://img3m2.ddimg.cn/0/27/28473192-1_l_22.jpg,1446038.0,100%,塔拉 ・ 韦斯特弗  著 ， 新经典  出品,2019-11-01,南海出版公司,¥34.80,¥59.00,5.9折,¥24.90,http://product.dangdang.com/28473192.html,"[""开 本：32开"", ""纸 张：轻型纸"", ""包 装：精装"", ""是否套装：否"", ""国际标准书号ISBN：9787544276986""]","[[""图书"", ""文学"", ""外国随笔""]]",比尔·盖茨年度特别推荐！ 17岁前从未上过学的女孩，如何成为剑桥大学博士？我们要背叛多少曾经，才能找到真正的自我！作者获选《时代周刊》年度影响力人物！  
小王子（罗翔老师推荐阅读，李继宏口碑译作，作者基金会官方认证简体中文版）【果麦经典】,http://img3m6.ddimg.cn/15/33/25298376-1_l_63.jpg,1627069.0,99.9%,（法）安托万・德・圣埃克苏佩里，译者 李继宏，果麦文化 出品,2018-06-03,天津人民出版社,¥19.90,¥39.80,5.0折,¥3.00,http://product.dangdang.com/25298376.html,"[""开 本：32开"", ""纸 张：胶版纸"", ""包 装：精装"", ""是否套装：否"", ""国际标准书号ISBN：9787201077642""]","[[""图书"", ""小说"", ""世界名著"", ""欧洲""]]",新旧版本封面随机发货。法国“圣埃克苏佩里基金会”官方认证，正版图片库支持，翻译家李继宏力作，制作精美，王一博、宁静优选版本，一部写给所有人的童话，万字导读彩插带你真正读懂小王子。果麦出品  
