书名,图片,评论数,推荐量,作者,出版日期,出版社,售价,原价,折扣,电子书价格,详情页
被讨厌的勇气：“自我启发之父”阿德勒的哲学课 岸见一郎,http://img3m2.ddimg.cn/33/26/28518072-1_l_8.jpg,900622,100%,"岸��一郎, 古�R史健",2020-03-05,机械工业出版社,¥37.00,¥55.00,6.7折,¥7.96,http://product.dangdang.com/28518072.html
十万个为什么 快乐读书吧 四年级下册推荐课外阅读 青少版科普 中小学生课外阅读指导丛书 无障碍阅读 21万读者热评！,http://img3m4.ddimg.cn/87/2/26509614-1_l_32.jpg,247099,100%,（苏）米 伊林,2018-10-01,南方出版社,¥10.20,¥22.80,4.5折,,http://product.dangdang.com/26509614.html
钝感力（渡边淳一经典励志大作！央视新闻、《奇葩说》鼎力推荐，马东、蔡康永、杨天真、王俊凯推荐书目。写给易因小事敏感，什么都往心里去的人。),http://img3m9.ddimg.cn/23/12/25201859-1_l_29.jpg,613248,99.9%,渡边淳一著；李迎跃 译;,2018-01-01,青岛出版社,¥16.00,¥32.00,5.0折,¥6.00,http://product.dangdang.com/25201859.html
蛤蟆先生去看心理医生（热销300万册！英国经典心理咨询入门书，知名心理学家李松蔚强烈推荐）,http://img3m9.ddimg.cn/71/33/28992419-1_l_63.jpg,1389622,100%,罗伯特・戴博德，果麦文化 出品,2020-07-01,天津人民出版社,¥19.00,¥38.00,5.0折,¥15.99,http://product.dangdang.com/28992419.html
骆驼祥子 全本（《语文》推荐阅读丛书）七年级下册推荐阅读 人民文学出版社,http://img3m4.ddimg.cn/39/14/25267314-1_l_8.jpg,221360,100%,老舍,2018-04-01,人民文学出版社,¥12.20,¥26.00,4.7折,¥13.00,http://product.dangdang.com/25267314.html
梅格时空大冒险・7~14岁儿童文学科幻经典（全5册）银河的裂缝 等5册儿童文学史上家喻户晓、不可逾越的经典,http://img3m4.ddimg.cn/78/32/25099944-1_l_30.jpg,277526,99.9%,(美)马德琳・英格 著；读客文化 出品,2017-07-01,文汇出版社,¥108.40,¥216.80,5.0折,¥29.99,http://product.dangdang.com/25099944.html
钢铁是怎样炼成的(《语文》推荐阅读丛书)人民文学出版社,http://img3m9.ddimg.cn/89/8/25283699-1_l_6.jpg,156361,100%,（苏）尼・奥斯特洛夫斯基,2018-06-01,人民文学出版社,¥16.80,¥36.00,4.7折,¥18.00,http://product.dangdang.com/25283699.html
额尔古纳河右岸（茅盾文学奖获奖作品全集28）,http://img3m8.ddimg.cn/5/14/27878108-1_l_2.jpg,155792,100%,迟子建,2019-06-01,人民文学出版社,¥19.90,¥32.00,6.2折,,http://product.dangdang.com/27878108.html
带壳的牡蛎是大人的心脏（绘签版、签章版随机掉落！全部含作者亲绘贴纸！超人气漫画家拟泥nini首部作品集。阮筠庭、文森特动物园推荐）,http://img3m7.ddimg.cn/47/4/29463437-1_l_32.jpg,30335,100%,拟泥nini 著绘  时代华语 出品,2022-09-01,北京联合出版有限公司,¥40.80,¥68.00,6.0折,,http://product.dangdang.com/29463437.html
俗世奇人（足本）（《语文》推荐阅读丛书）人民文学出版社,http://img3m5.ddimg.cn/9/33/25267185-1_l_5.jpg,257808,100%,冯骥才,2018-04-01,人民文学出版社,¥14.00,¥28.00,5.0折,,http://product.dangdang.com/25267185.html
快乐读书吧六年级下册 鲁滨逊漂流记 汤姆索亚历险记 尼尔斯骑鹅旅行记 爱丽丝漫游仙境 推荐阅读套装共4册 中小学生课外阅读无障碍阅读,http://img3m4.ddimg.cn/94/4/25577734-1_l_41.jpg,46856,99.9%,马克 吐温，笛福，塞尔玛 拉格洛夫，卡罗尔，,2018-11-01,时代文艺出版社,¥27.70,¥62.20,4.5折,,http://product.dangdang.com/25577734.html
苏东坡传（林语堂纪念典藏精装版）,http://img3m8.ddimg.cn/40/0/25211578-1_l_26.jpg,879757,99.9%,"林语堂 著,博集天卷 出品",2018-01-01,湖南文艺出版社,¥26.00,¥52.00,5.0折,¥12.99,http://product.dangdang.com/25211578.html
尼尔斯骑鹅旅行记 快乐读书吧 六年级下册推荐阅读(中小学生课外阅读指导丛书)无障碍阅读 彩插励志版 130000多名读者热评！,http://img3m6.ddimg.cn/12/7/23379456-1_l_34.jpg,248217,99.9%,（瑞典）拉格洛夫,2021-04-01,南方出版社,¥7.30,¥16.80,4.3折,,http://product.dangdang.com/23379456.html
宝葫芦的秘密(中小学生课外阅读指导丛书)无障碍阅读 彩插励志版 160000多名读者热评！,http://img3m3.ddimg.cn/19/12/23298283-1_l_31.jpg,260792,99.9%,张天翼著,2021-04-01,南方出版社,¥5.10,¥14.80,3.4折,,http://product.dangdang.com/23298283.html
瓦尔登湖（经典新读 中央编译出版社）,http://img3m3.ddimg.cn/51/18/26916963-1_l_13.jpg,67635,100%,（美）梭罗 著，王光林 译 万亭文化 出品,2019-04-01,中央编译出版社,¥11.40,¥26.80,4.3折,,http://product.dangdang.com/26916963.html
经典常谈（《语文》八年级下推荐阅读，附录《唐诗三百首》全面解读，整本书精编精校多条注释无障碍阅读。）,http://img3m9.ddimg.cn/62/8/29196449-1_l_20.jpg,246,100%,朱自清,2021-01-01,作家出版社,¥11.90,¥28.00,4.3折,,http://product.dangdang.com/29196449.html
呼兰河传(中小学生课外阅读指导丛书) 无障碍阅读 彩插励志版 180000多名读者热评！,http://img3m9.ddimg.cn/71/22/23197949-1_l_42.jpg,246468,100%,萧红,2021-05-01,南方出版社,¥5.30,¥15.80,3.4折,,http://product.dangdang.com/23197949.html
红楼梦原著版（上、下册，全两册，全本120回）（团购电话:400-1066666转6）,http://img3m1.ddimg.cn/9/22/102771-1_l_8.jpg,674378,99.6%,曹雪芹,2013-01-01,人民文学出版社,¥32.20,¥59.70,5.4折,¥36.00,http://product.dangdang.com/102771.html
尼尔斯骑鹅旅行记（语文教材“快乐读书吧”六年级下册阅读，翻译家石琴娥译本）,http://img3m8.ddimg.cn/56/19/26315048-1_l_42.jpg,159728,100%,（瑞典）塞尔玛・拉格洛夫， 石琴娥译，小当当童书馆 出品,2018-12-01,安徽教育出版社,¥9.67,¥24.80,3.9折,,http://product.dangdang.com/26315048.html
爆笑小古文漫画版 笑破肚皮 笑掉大牙 哭笑不得 小学生一二三四五六年级课外阅读趣味笑话漫画书（全套3册）,http://img3m1.ddimg.cn/5/21/29447951-1_l_4.jpg,4722,100%,哈哈星球,2022-07-01,二十一世纪出版社,¥54.00,¥108.00,5.0折,,http://product.dangdang.com/29447951.html
时代广场的蟋蟀：麦克米伦世纪大奖小说最新升级版,http://img3m1.ddimg.cn/5/1/29148971-1_l_13.jpg,561752,100%,[美]乔治・塞尔登,2017-09-01,二十一世纪出版社,¥11.00,¥25.00,4.4折,,http://product.dangdang.com/29148971.html
骆驼祥子 七年级下册推荐阅读(中小学生课外阅读指导丛书) 无障碍阅读 彩插励志版 300000多名读者热评！,http://img3m5.ddimg.cn/47/13/22854395-1_l_43.jpg,392084,99.9%,老舍,2021-06-01,时代文艺出版社,¥6.70,¥15.80,4.2折,,http://product.dangdang.com/22854395.html
杀死一只知更鸟（豆瓣9.2，关于勇气与正义的成长教科书，影响全球5000万家庭的“教养宝典”，奥巴马、贝克汉姆、奥普拉鼎力推荐）,http://img3m9.ddimg.cn/97/6/29471209-1_l_7.jpg,943431,100%,哈珀・李 著 李育超 译,2022-11-01,译林出版社,¥29.00,¥58.00,5.0折,,http://product.dangdang.com/29471209.html
作家榜经典：月亮与六便士（全新未删节插图珍藏版！毛姆写给年轻人的梦想之书！满地都是六便士，他却抬头看见了月亮！）,http://img3m1.ddimg.cn/66/15/24175371-1_l_328.jpg,1437977,100%,[英] 毛姆 著，作家榜经典名著 出品，徐淳刚（诗人） 译，大星文化，高更 绘,2017-01-10,浙江文艺出版社,¥19.50,¥39.80,4.9折,,http://product.dangdang.com/24175371.html
海底两万里(《语文》阅读丛书)七年级下册阅读人民文学出版社,http://img3m0.ddimg.cn/1/19/25283710-1_l_6.jpg,125189,100%,（法国）儒勒・凡尔纳,2018-06-01,人民文学出版社,¥16.40,¥35.00,4.7折,¥18.00,http://product.dangdang.com/25283710.html
夏洛的网(2020版）（三年级阅读经典书目）,http://img3m8.ddimg.cn/86/8/28533668-1_l_7.jpg,1200635,99.3%,（美）怀特　著，任溶溶　译,2014-08-01,上海译文出版社,¥23.40,¥37.00,6.3折,,http://product.dangdang.com/28533668.html
如果历史是一群喵11・南宋金元篇,http://img3m7.ddimg.cn/38/23/29475407-1_l_11.jpg,58594,100%,肥志编绘，漫友文化出品,2022-10-01,广东旅游出版社,¥42.70,¥59.80,7.1折,,http://product.dangdang.com/29475407.html
汤姆・索亚历险记（深受儿童欢迎的冒险小说，小学语文“快乐读书吧”・六年级下阅读）,http://img3m6.ddimg.cn/33/6/25061586-1_l_17.jpg,245274,100%,〔美〕马克・吐温 著 张友松 译,2017-04-01,浙江工商大学出版社,¥10.80,¥24.00,4.5折,¥1.99,http://product.dangdang.com/25061586.html
小猪唏哩呼噜(注音版上下),http://img3m7.ddimg.cn/3/27/29318457-1_l_4.jpg,657293,99.9%,孙幼军,2021-11-01,春风文艺出版社,¥20.00,¥40.00,5.0折,,http://product.dangdang.com/29318457.html
健康不走弯路：细节打造好身体,http://img3m7.ddimg.cn/60/12/29476617-1_l_2.jpg,51064,100%,刘加勇,2022-10-01,中国人口出版社,¥27.40,¥49.80,5.5折,,http://product.dangdang.com/29476617.html
你当像鸟飞往你的山（中文版销量超200万册，比尔・盖茨年度特别推荐！登顶《纽约时报》畅销榜80+周，这本书比你听说的还要好！）,http://img3m2.ddimg.cn/0/27/28473192-1_l_22.jpg,1446038,100%,塔拉 ・ 韦斯特弗  著 ， 新经典  出品,2019-11-01,南海出版公司,¥34.80,¥59.00,5.9折,¥24.90,http://product.dangdang.com/28473192.html
小王子（罗翔老师推荐阅读，李继宏口碑译作，作者基金会官方认证简体中文版）【果麦经典】,http://img3m6.ddimg.cn/15/33/25298376-1_l_63.jpg,1627069,99.9%,（法）安托万・德・圣埃克苏佩里，译者 李继宏，果麦文化 出品,2018-06-03,天津人民出版社,¥19.90,¥39.80,5.0折,¥3.00,http://product.dangdang.com/25298376.html
始于极限：女性主义往复书简（上野千鹤子新作，豆瓣2022年度图书top1，万千读者无限共鸣的坦诚对话）,http://img3m6.ddimg.cn/38/16/29458676-1_l_12.jpg,37963,100%,（日）上野千鹤子，（日）铃木凉美 著，新经典  出品,2022-08-01,新星出版社,¥29.50,¥59.00,5.0折,¥29.50,http://product.dangdang.com/29458676.html
人生海海（麦家重磅力作，莫言、董卿盛赞，连续两年高居畅销榜，发行量超200万册）,http://img3m5.ddimg.cn/51/34/26921715-1_l_12.jpg,1118611,100%,麦家  著 ，新经典  出品,2019-04-16,北京十月文艺出版社,¥27.50,¥55.00,5.0折,¥21.99,http://product.dangdang.com/26921715.html
七色花 全彩注音 小学二年级下册 快乐读书吧 推荐阅读（有声朗读）小学课外阅读,http://img3m8.ddimg.cn/54/5/28516608-1_l_21.jpg,27311,100%,瓦 卡达耶夫等,2020-02-01,商务印书馆,¥10.90,¥21.80,5.0折,,http://product.dangdang.com/28516608.html
马尔克斯：百年孤独（50周年纪念版）,http://img3m6.ddimg.cn/83/20/25138856-1_l_6.jpg,2200645,99.8%,加西亚・马尔克斯 著，新经典 出品,2017-08-01,南海出版公司,¥39.60,¥55.00,7.2折,¥35.99,http://product.dangdang.com/25138856.html
海底两万里（语文教材“名著导读”经典・七年级下。翻译家陈筱卿先生译本）,http://img3m8.ddimg.cn/37/30/25126138-1_l_17.jpg,311823,100%,[法]儒勒・凡尔纳 著 陈筱卿 译,2017-09-01,浙江工商大学出版社,¥11.30,¥25.00,4.5折,,http://product.dangdang.com/25126138.html
红岩,http://img3m1.ddimg.cn/79/2/25167661-1_l_8.jpg,720165,99.9%,罗广斌，杨益言,2017-09-01,中国青年出版社,¥22.10,¥36.00,6.1折,,http://product.dangdang.com/25167661.html
经典常谈（《语文》八年级下推荐阅读，版本特别加入图解与注释，附录20853字《唐诗三百首》解析，更适合青少年无障碍阅读。）,http://img3m0.ddimg.cn/24/23/27915450-1_l_28.jpg,7719,99.9%,朱自清， 果麦文化 出品,2019-08-01,三秦出版社,¥15.50,¥35.00,4.4折,¥6.99,http://product.dangdang.com/27915450.html
命运（蔡崇达新书，畅销400万册《皮囊》作者长篇新作。刘德华、韩寒、白岩松、李敬泽、程永新联袂推荐！一个人的无常，所有人的命运）,http://img3m3.ddimg.cn/47/1/29458883-1_l_25.jpg,43927,100%,蔡崇达，果麦文化 出品,2022-09-01,浙江文艺出版社,¥29.90,¥59.80,5.0折,¥24.99,http://product.dangdang.com/29458883.html
快乐读书吧三年级下册 中国古代寓言 克雷洛夫寓言 伊索寓言 推荐阅读套装共3册 中小学生课外阅读指导丛书 无障碍阅读 彩插励志版,http://img3m1.ddimg.cn/56/22/26440481-1_l_36.jpg,52894,100%,克雷洛夫，伊索等,2013-01-01,南方出版社,¥19.80,¥44.40,4.5折,,http://product.dangdang.com/26440481.html
穿过地平线：看看我们的地球 小学四年级下册 快乐读书吧 推荐阅读（有声朗读）小学课外阅读,http://img3m9.ddimg.cn/13/26/28520329-1_l_18.jpg,37261,100%,李四光,2020-03-01,商务印书馆,¥14.40,¥28.80,5.0折,,http://product.dangdang.com/28520329.html
没头脑和不高兴（注音版）,http://img3m9.ddimg.cn/20/14/29291249-1_l_6.jpg,485393,100%,任溶溶,2021-08-01,浙江少年儿童出版社,¥15.00,¥25.00,6.0折,,http://product.dangdang.com/29291249.html
置身事内：中国政府与经济发展（罗永浩、罗振宇、何帆、刘格菘、张军、周黎安、王烁联袂推荐，复旦经院毕业课）,http://img3m8.ddimg.cn/27/24/29281158-1_l_25.jpg,179963,100%,兰小欢 著,2021-08-01,上海人民出版社,¥32.50,¥65.00,5.0折,,http://product.dangdang.com/29281158.html
钢铁是怎样炼成的(语文教材“名著导读”经典・八年级下。大语文理念打造：思维导图+详细注释+知识拓展+彩色插图),http://img3m2.ddimg.cn/69/22/28535532-1_l_24.jpg,54157,100%,（苏）奥斯特洛夫斯基 著 周露 译,2020-04-21,时代文艺出版社,¥20.70,¥44.00,4.7折,,http://product.dangdang.com/28535532.html
暖房子・屁屁侦探系列（套装共7册）,http://img3m9.ddimg.cn/69/34/29128839-1_l_16.jpg,180789,100%,【日】Troll/文、图   禹田文化 出品,2020-07-01,海豚出版社,¥63.30,¥115.00,5.5折,,http://product.dangdang.com/29128839.html
森林报 春/夏/秋/冬（以报刊纪实的手法，给孩子生动地讲述四季中的大自然百科。精美插图）,http://img3m4.ddimg.cn/8/36/26491814-1_l_30.jpg,122902,100%,（苏）比安基 ；小当当童书馆 出品,2019-01-01,安徽教育出版社,¥43.80,¥91.20,4.8折,,http://product.dangdang.com/26491814.html
窗边的小豆豆(2018版),http://img3m6.ddimg.cn/66/10/25272786-1_l_24.jpg,1599766,99.9%,（日）黑柳彻子， 爱心树童书  出品,2018-05-01,南海出版公司,¥27.20,¥39.50,6.9折,¥24.99,http://product.dangdang.com/25272786.html
银河帝国：基地（人类历史上不容错过的系列小说。被马斯克用火箭送上太空的科幻神作，百万册珍藏版）（读客科幻文库）,http://img3m4.ddimg.cn/45/4/29299194-1_l_11.jpg,218605,100%,[美]艾萨克・阿西莫夫（Isaac Asimov）；读客文化 出品,2015-09-01,江苏文艺出版社,¥22.50,¥45.00,5.0折,¥7.99,http://product.dangdang.com/29299194.html
罪与罚 犯罪心理分析小说的大师级经典之作 世界名著典藏,http://img3m2.ddimg.cn/74/3/23806802-1_l_13.jpg,80304,100%,"（俄）陀思妥耶夫斯基（著),朱宪生、曾思艺译 万亭文化 出品",2015-06-01,中央编译出版社,¥12.70,¥32.00,4.0折,,http://product.dangdang.com/23806802.html
悉达多（译者姜乙翻译）【果麦经典】,http://img3m8.ddimg.cn/63/11/26186058-1_l_14.jpg,164577,100%,[德]赫尔曼・黑塞，译者：姜乙，果麦文化 出品,2017-01-01,天津人民出版社,¥16.00,¥32.00,5.0折,¥3.99,http://product.dangdang.com/26186058.html
克雷洛夫寓言 快乐读书吧 三年级下册推荐阅读(中小学生课外阅读指导丛书)无障碍阅读 彩插励志版 12万多名读者热评！,http://img3m5.ddimg.cn/67/18/23197945-1_l_34.jpg,150409,100%,(俄) 克雷洛夫,2021-04-01,南方出版社,¥5.00,¥15.80,3.2折,,http://product.dangdang.com/23197945.html
拉封丹寓言 快乐读书吧 三年级下册推荐阅读(中小学生课外阅读指导丛书)无障碍阅读 彩插励志版 5万多读者热评！,http://img3m0.ddimg.cn/55/21/26440480-1_l_39.jpg,86814,100%,（法）让 德 拉封丹,2018-10-01,南方出版社,¥10.20,¥22.80,4.5折,,http://product.dangdang.com/26440480.html
消失的13级台阶（罗翔推荐！荣获日本推理小说至高荣誉江户川乱步奖！是否值得为一场痛快的复仇，陪葬掉自己的人生？）,http://img3m3.ddimg.cn/3/5/28542693-1_l_14.jpg,324037,100%,(日)高野和明 著；读客文化 出品,2020-04-29,上海文艺出版社,¥21.00,¥42.00,5.0折,¥12.99,http://product.dangdang.com/28542693.html
罗尔德・达尔作品典藏（彩图拼音版）―了不起的狐狸爸爸,http://img3m7.ddimg.cn/38/28/25575797-1_l_13.jpg,333588,100%,(英) 罗尔德・达尔 著； (英) 昆汀・布莱克绘；代维 译。,2018-09-01,明天出版社,¥14.00,¥28.00,5.0折,,http://product.dangdang.com/25575797.html
四大名著套装 西游记 红楼梦 三国演义 水浒传 五年级下册快乐读书吧推荐阅读 青少版无障碍阅读 中小学生课外阅读指导丛书共4册 12万读者好评！,http://img3m6.ddimg.cn/22/28/23276506-1_l_40.jpg,139388,99.8%,吴承恩，施耐庵，曹雪芹，罗贯中，,2012-07-01,时代文艺出版社,¥23.70,¥59.20,4.0折,,http://product.dangdang.com/23276506.html
骆驼祥子 七年级下 名著阅读课程化丛书 导读版 人民教育出版社,http://img3m9.ddimg.cn/44/17/25112879-1_l_8.jpg,147577,100%,老舍 著,2017-06-01,人民教育出版社,¥21.60,¥28.80,7.5折,,http://product.dangdang.com/25112879.html
读读童谣和儿歌（共四册）一年级下册 语文教科书配套书目 人教版快乐读书吧,http://img3m9.ddimg.cn/43/30/25230589-1_l_27.jpg,229366,100%,曹文轩 陈先云 主编,2018-01-01,人民教育出版社,¥29.90,¥39.80,7.5折,,http://product.dangdang.com/25230589.html
乡土中国（精装版 附赠书签）,http://img3m0.ddimg.cn/6/10/29129370-1_l_16.jpg,148824,100%,费孝通,2019-10-01,青岛出版社,¥22.80,¥28.00,8.1折,¥12.00,http://product.dangdang.com/29129370.html
简爱（英国女作家夏洛蒂・勃朗特的长篇小说，翻译家宋兆霖未删节全译本）,http://img3m5.ddimg.cn/91/23/23752765-1_l_14.jpg,276637,99.7%,（英）夏洛蒂勃朗特　著，宋兆霖　译,2015-08-01,作家出版社,¥13.40,¥29.80,4.5折,¥4.99,http://product.dangdang.com/23752765.html
西游记幼儿美绘本（全10册）,http://img3m7.ddimg.cn/10/30/25276987-1_l_44.jpg,108027,99.9%,吕进 改编，吴家晔  贾雄虎 绘，海豚传媒 出品,2018-05-01,少年儿童出版社,¥87.50,¥199.00,4.4折,,http://product.dangdang.com/25276987.html
神奇校车・桥梁书版（全20册）,http://img3m0.ddimg.cn/61/3/23444350-1_l_61.jpg,1430625,99.9%,乔安娜柯尔　著 布鲁斯迪根 图　施芳　译,2014-04-01,贵州人民出版社,¥75.00,¥150.00,5.0折,,http://product.dangdang.com/23444350.html
小巴掌童话注音版8册百篇张秋生著 小学生课外读本,http://img3m8.ddimg.cn/29/35/25309478-1_l_7.jpg,321761,100%,张秋生,2018-04-18,山东科学技术出版社,¥43.00,¥110.40,3.9折,,http://product.dangdang.com/25309478.html
乌合之众 : 大众心理研究（群体心理学创始人古斯塔夫・勒庞代表作之一。极简翻译文风，语言深入浅出，减少艰深晦涩）,http://img3m9.ddimg.cn/25/29/25246609-1_l_22.jpg,723985,100%,(法) 古斯塔夫・勒庞 著，马晓佳 译,2018-04-06,民主与建设出版社,¥11.70,¥26.00,4.5折,,http://product.dangdang.com/25246609.html
苏菲的世界（平装新版）八年级阅读乔斯坦贾德哲学入门书作家出版社,http://img3m9.ddimg.cn/41/0/25170989-1_l_17.jpg,413853,100%,乔斯坦・贾德,2017-09-19,作家出版社,¥22.80,¥38.00,6.0折,¥9.99,http://product.dangdang.com/25170989.html
平凡的世界：全三册（全新2021版，茅盾文学奖获奖作品，激励青年的不朽经典）,http://img3m4.ddimg.cn/34/12/29253544-1_l_18.jpg,1075654,100%,路遥  著 ， 新经典  出品,2021-06-01,北京十月文艺出版社,¥98.00,¥138.00,7.1折,¥89.99,http://product.dangdang.com/29253544.html
云边有个小卖部（俞敏洪《在岁月中远行》单独撰文推荐，随书附赠云边镇四季明信片和张嘉佳作词单曲彩蛋）,http://img3m9.ddimg.cn/77/23/25295369-1_l_41.jpg,1455258,100%,"张嘉佳 著,博集天卷 出品",2018-07-01,湖南文艺出版社,¥25.20,¥42.00,6.0折,¥9.99,http://product.dangdang.com/25295369.html
课文作家作品系列 文具的家 一年级下册 圣野著（语文教材配套、教材编者选编、名家经典阅读、课文作家面对面）人民教育出版社 团购电话:4001066666转6,http://img3m0.ddimg.cn/26/28/29194730-1_l_12.jpg,77744,100%,圣野 著，晓波 选编，王林 主编,2017-09-01,人民教育出版社,¥17.90,¥21.00,8.5折,,http://product.dangdang.com/29194730.html
爷爷的爷爷哪里来：人类起源的演化过程 小学四年级下册 快乐读书吧 推荐阅读（有声朗读）小学课外阅读,http://img3m2.ddimg.cn/16/29/28520332-1_l_21.jpg,29459,100%,贾兰坡,2020-03-01,商务印书馆,¥10.70,¥29.80,3.6折,,http://product.dangdang.com/28520332.html
小王子（原版精美插图，傅雷翻译出版奖得主郑克鲁法文直译。揭秘作者传奇人生，展示与《小王子》有关的钱币、纪念章、邮票等）,http://img3m6.ddimg.cn/34/34/25289386-1_l_24.jpg,248421,100%,(法) 圣埃克苏佩里、郑克鲁译,2018-07-19,浙江工商大学出版社,¥11.70,¥26.00,4.5折,,http://product.dangdang.com/25289386.html
心安即是归处：季羡林百年生命智慧。央视《朗读者》多次动情朗读本书名篇。,http://img3m2.ddimg.cn/16/24/28976722-1_l_51.jpg,437342,100%,季羡林 著，文通天下 出品,2020-08-01,古吴轩出版社,¥15.10,¥49.00,3.1折,¥19.90,http://product.dangdang.com/28976722.html
爱丽丝漫游奇境记（经典插图本，语文教材“快乐读书吧”六年级下阅读。哈利波特系列译者马爱农翻译）,http://img3m6.ddimg.cn/31/11/24041686-1_l_11.jpg,168771,100%,"[英]刘易斯・卡罗尔  著,马爱农 译.",2016-11-01,北京联合出版公司,¥9.00,¥18.00,5.0折,¥1.99,http://product.dangdang.com/24041686.html
中国古代寓言 三年级下册 语文教科书配套书目 人教版快乐读书吧,http://img3m9.ddimg.cn/30/7/26916249-1_l_4.jpg,42035,100%,曹文轩、陈先云 主编,2019-01-01,人民教育出版社,¥18.80,¥25.00,7.5折,,http://product.dangdang.com/26916249.html
李毓佩数学童话集 小学低年级 彩色注音版,http://img3m0.ddimg.cn/2/18/25250150-1_l_12.jpg,90525,100%,李毓佩,2018-03-01,海豚出版社,¥11.40,¥23.80,4.8折,,http://product.dangdang.com/25250150.html
尘埃落定：限量签章版（荣获茅盾文学奖20周年纪念版！特别加赠阿来故乡风景卡片三幅！),http://img3m1.ddimg.cn/2/2/29131841-1_l_17.jpg,133194,100%,阿来,2020-09-01,浙江文艺出版社,¥24.50,¥49.00,5.0折,¥12.99,http://product.dangdang.com/29131841.html
鲁滨孙漂流记(语文教材“快乐读书吧”六年级下阅读，也译《鲁滨逊漂流记》),http://img3m5.ddimg.cn/44/22/24187625-1_l_13.jpg,134049,99.9%,"[英] 丹尼尔・笛福  著 ,  王晋华  译",2017-03-01,浙江工商大学出版社,¥12.60,¥28.00,4.5折,¥1.99,http://product.dangdang.com/24187625.html
果麦经典：了凡四训（“我命由我不由天！”曾国藩、胡适、稻盛和夫推崇的生活方式手册；费勇教授精美译文）,http://img3m9.ddimg.cn/10/24/25157989-1_l_10.jpg,217745,100%,袁了凡 著，译者 费勇，果麦文化 出品,2017-09-01,三秦出版社,¥15.70,¥32.00,4.9折,¥0.99,http://product.dangdang.com/25157989.html
遥远的救世主（天道原著王志文主演电视剧畅销遥远的救世主作者豆豆三部曲之一）,http://img3m7.ddimg.cn/23/17/25353527-1_l_15.jpg,493217,99.9%,豆豆,2018-10-09,作家出版社,¥21.40,¥48.00,4.5折,,http://product.dangdang.com/25353527.html
理想国（2020全译本，西方哲学的源头，清华大学、北京大学图书馆借阅榜首位）,http://img3m0.ddimg.cn/57/28/28973100-1_l_9.jpg,81613,100%,（古希腊）柏拉图著  张俊译 知书达礼 出品,2020-07-01,民主与建设出版社,¥30.40,¥56.00,5.4折,¥9.40,http://product.dangdang.com/28973100.html
